2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.012,0.011,0.015,0.004,0.005,0.002,0.013,0.004,0.004
0.052,0.095,0.048,0.112,0.051,0.046,0.032,0.08,0.037,0.026
0.114,0.195,0.093,0.214,0.14,0.088,0.075,0.14,0.084,0.051
0.151,0.247,0.131,0.265,0.198,0.12,0.105,0.166,0.126,0.067
0.155,0.253,0.143,0.273,0.202,0.117,0.099,0.156,0.15,0.062
0.128,0.216,0.131,0.23,0.172,0.099,0.079,0.117,0.139,0.043
0.077,0.138,0.094,0.15,0.111,0.069,0.044,0.067,0.094,0.023
0.024,0.044,0.038,0.055,0.037,0.024,0.011,0.021,0.033,0.006
0.0,0.001,0.002,0.002,0.001,0.0,0.0,0.0,0.001,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.003,0.015,0.013,0.011,0.001,0.002,0.006,0.006,0.001
0.088,0.037,0.061,0.102,0.081,0.011,0.023,0.056,0.047,0.019
0.191,0.073,0.116,0.2,0.172,0.028,0.051,0.118,0.103,0.043
0.281,0.092,0.144,0.246,0.269,0.052,0.079,0.165,0.144,0.061
0.312,0.104,0.144,0.249,0.328,0.061,0.097,0.184,0.159,0.071
0.278,0.092,0.121,0.216,0.321,0.05,0.095,0.162,0.139,0.059
0.184,0.049,0.084,0.153,0.228,0.029,0.074,0.1,0.093,0.035
0.064,0.011,0.038,0.061,0.09,0.013,0.028,0.029,0.034,0.011
0.001,0.0,0.002,0.002,0.006,0.001,0.0,0.0,0.001,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
